 V3         V_out:Iss=5.00e-07        
 7.60000000e-02  5.02156727e+00 
 7.70000000e-02  5.05351357e+00 
 7.80000000e-02  5.08550443e+00 
 7.90000000e-02  5.11754869e+00 
 8.00000000e-02  5.14965490e+00 
 8.10000000e-02  5.18183144e+00 
 8.20000000e-02  5.21408648e+00 
 8.30000000e-02  5.24642799e+00 
 8.40000000e-02  5.27886377e+00 
 8.50000000e-02  5.31140146e+00 
 8.60000000e-02  5.34404855e+00 
 8.70000000e-02  5.37681237e+00 
 8.80000000e-02  5.40970011e+00 
 8.90000000e-02  5.44271885e+00 
 9.00000000e-02  5.47587553e+00 
 9.10000000e-02  5.50917699e+00 
 9.20000000e-02  5.54262996e+00 
 9.30000000e-02  5.57624105e+00 
 9.40000000e-02  5.61001680e+00 
 9.50000000e-02  5.64396365e+00 
 9.60000000e-02  5.67808795e+00 
 9.70000000e-02  5.71239598e+00 
 9.80000000e-02  5.74689393e+00 
 9.90000000e-02  5.78158794e+00 
 1.00000000e-01  5.81648406e+00 
 V3         V_out:Iss=5.00e-05        
-1.00000000e-01  3.88689144e-01 
-9.90000000e-02  3.90301298e-01 
-9.80000000e-02  3.91941036e-01 
-9.70000000e-02  3.93588259e-01 
-9.60000000e-02  3.95250203e-01 
-9.50000000e-02  3.96927299e-01 
-9.40000000e-02  3.98619991e-01 
-9.30000000e-02  4.00328744e-01 
-9.20000000e-02  4.02054045e-01 
-9.10000000e-02  4.03796399e-01 
-9.00000000e-02  4.05556338e-01 
-8.90000000e-02  4.07334417e-01 
-8.80000000e-02  4.09131215e-01 
-8.70000000e-02  4.10947342e-01 
-8.60000000e-02  4.12783436e-01 
-8.50000000e-02  4.14640166e-01 
-8.40000000e-02  4.16518233e-01 
-8.30000000e-02  4.18418377e-01 
-8.20000000e-02  4.20341373e-01 
-8.10000000e-02  4.22288039e-01 
-8.00000000e-02  4.24259234e-01 
-7.90000000e-02  4.26255865e-01 
-7.80000000e-02  4.28278889e-01 
-7.70000000e-02  4.30329316e-01 
-7.60000000e-02  4.32408215e-01 
-7.50000000e-02  4.34516715e-01 
-7.40000000e-02  4.36656014e-01 
-7.30000000e-02  4.38827379e-01 
-7.20000000e-02  4.41032157e-01 
-7.10000000e-02  4.43271779e-01 
-7.00000000e-02  4.45547766e-01 
-6.90000000e-02  4.47861739e-01 
-6.80000000e-02  4.50215425e-01 
-6.70000000e-02  4.52610666e-01 
-6.60000000e-02  4.55049432e-01 
-6.50000000e-02  4.57533831e-01 
-6.40000000e-02  4.60066121e-01 
-6.30000000e-02  4.62648721e-01 
-6.20000000e-02  4.65284233e-01 
-6.10000000e-02  4.67975454e-01 
-6.00000000e-02  4.70725393e-01 
-5.90000000e-02  4.73537298e-01 
-5.80000000e-02  4.76414675e-01 
-5.70000000e-02  4.79361311e-01 
-5.60000000e-02  4.82381308e-01 
-5.50000000e-02  4.85479111e-01 
-5.40000000e-02  4.88659542e-01 
-5.30000000e-02  4.91927840e-01 
-5.20000000e-02  4.95289702e-01 
-5.10000000e-02  4.98751331e-01 
-5.00000000e-02  5.02319484e-01 
-4.90000000e-02  5.06001530e-01 
-4.80000000e-02  5.09805510e-01 
-4.70000000e-02  5.13740205e-01 
-4.60000000e-02  5.17815203e-01 
-4.50000000e-02  5.22040986e-01 
-4.40000000e-02  5.26429002e-01 
-4.30000000e-02  5.30991768e-01 
-4.20000000e-02  5.35742955e-01 
-4.10000000e-02  5.40697501e-01 
-4.00000000e-02  5.45871721e-01 
-3.90000000e-02  5.51283425e-01 
-3.80000000e-02  5.56952049e-01 
-3.70000000e-02  5.62898797e-01 
-3.60000000e-02  5.69146791e-01 
-3.50000000e-02  5.75721239e-01 
-3.40000000e-02  5.82649608e-01 
-3.30000000e-02  5.89961821e-01 
-3.20000000e-02  5.97690462e-01 
-3.10000000e-02  6.05870993e-01 
-3.00000000e-02  6.14541988e-01 
-2.90000000e-02  6.23745364e-01 
-2.80000000e-02  6.33526615e-01 
-2.70000000e-02  6.43935043e-01 
-2.60000000e-02  6.55023955e-01 
-2.50000000e-02  6.66850838e-01 
-2.40000000e-02  6.79477464e-01 
-2.30000000e-02  6.92969927e-01 
-2.20000000e-02  7.07398565e-01 
-2.10000000e-02  7.22837745e-01 
